1.[TCP] SourcePort:46474,DestinationPort:6334
61.[TCP] SourcePort:44214,DestinationPort:108
62.[TCP] SourcePort:44214,DestinationPort:108
63.[TCP] SourcePort:1080,DestinationPort:4421
64.[TCP] SourcePort:44210,DestinationPort:108
65.[TCP] SourcePort:1080,DestinationPort:4421
66.[TCP] SourcePort:44214,DestinationPort:108
67.[TCP] SourcePort:1080,DestinationPort:4421
68.[TCP] SourcePort:443,DestinationPort:3443
69.[TCP] SourcePort:1080,DestinationPort:4421
70.[TCP] SourcePort:44210,DestinationPort:108
71.[TCP] SourcePort:443,DestinationPort:3443
72.[TCP] SourcePort:443,DestinationPort:3443
73.[TCP] SourcePort:1080,DestinationPort:4421
74.[TCP] SourcePort:44210,DestinationPort:108
75.[TCP] SourcePort:1080,DestinationPort:4421
76.[TCP] SourcePort:44210,DestinationPort:108
77.[TCP] SourcePort:443,DestinationPort:3443
78.[TCP] SourcePort:1080,DestinationPort:4421
79.[TCP] SourcePort:44210,DestinationPort:108
80.[TCP] SourcePort:443,DestinationPort:3443
81.[TCP] SourcePort:1080,DestinationPort:4421
82.[TCP] SourcePort:44210,DestinationPort:108
83.[TCP] SourcePort:443,DestinationPort:3443
84.[TCP] SourcePort:1080,DestinationPort:4421
85.[TCP] SourcePort:443,DestinationPort:3443
86.[TCP] SourcePort:44210,DestinationPort:108
87.[TCP] SourcePort:1080,DestinationPort:4421
88.[TCP] SourcePort:44210,DestinationPort:108
89.[TCP] SourcePort:443,DestinationPort:3443
90.[TCP] SourcePort:1080,DestinationPort:4421
91.[TCP] SourcePort:44210,DestinationPort:108
92.[TCP] SourcePort:443,DestinationPort:3443
93.[TCP] SourcePort:1080,DestinationPort:4421
94.[TCP] SourcePort:44210,DestinationPort:108
95.[TCP] SourcePort:44210,DestinationPort:108
96.[TCP] SourcePort:1080,DestinationPort:4421
97.[TCP] SourcePort:443,DestinationPort:3444
98.[TCP] SourcePort:443,DestinationPort:3443
99.[TCP] SourcePort:443,DestinationPort:3443
100.[TCP] SourcePort:443,DestinationPort:3444
101.[TCP] SourcePort:443,DestinationPort:3444
102.[TCP] SourcePort:1080,DestinationPort:4421
103.[TCP] SourcePort:44214,DestinationPort:108
104.[TCP] SourcePort:1080,DestinationPort:4421
105.[TCP] SourcePort:44214,DestinationPort:108
106.[TCP] SourcePort:1080,DestinationPort:4421
107.[TCP] SourcePort:44214,DestinationPort:108
108.[TCP] SourcePort:1080,DestinationPort:4421
109.[TCP] SourcePort:443,DestinationPort:3444
110.[TCP] SourcePort:443,DestinationPort:3444
111.[TCP] SourcePort:443,DestinationPort:3444
112.[TCP] SourcePort:1080,DestinationPort:4421
113.[TCP] SourcePort:44214,DestinationPort:108
114.[TCP] SourcePort:1080,DestinationPort:4421
115.[TCP] SourcePort:443,DestinationPort:3444
116.[TCP] SourcePort:443,DestinationPort:3444
117.[TCP] SourcePort:1080,DestinationPort:4421
118.[TCP] SourcePort:1080,DestinationPort:4421
119.[TCP] SourcePort:44214,DestinationPort:108
120.[TCP] SourcePort:44218,DestinationPort:108
121.[TCP] SourcePort:1080,DestinationPort:4421
122.[TCP] SourcePort:44218,DestinationPort:108
123.[TCP] SourcePort:44218,DestinationPort:108
124.[TCP] SourcePort:1080,DestinationPort:4421
125.[TCP] SourcePort:1080,DestinationPort:4421
126.[TCP] SourcePort:44218,DestinationPort:108
127.[TCP] SourcePort:44218,DestinationPort:108
128.[TCP] SourcePort:1080,DestinationPort:4421
129.[TCP] SourcePort:44218,DestinationPort:108
130.[TCP] SourcePort:44222,DestinationPort:108
131.[TCP] SourcePort:1080,DestinationPort:4422
132.[TCP] SourcePort:44222,DestinationPort:108
133.[TCP] SourcePort:44222,DestinationPort:108
134.[TCP] SourcePort:1080,DestinationPort:4422
135.[TCP] SourcePort:1080,DestinationPort:4422
136.[TCP] SourcePort:44222,DestinationPort:108
137.[TCP] SourcePort:44222,DestinationPort:108
138.[TCP] SourcePort:1080,DestinationPort:4422
139.[TCP] SourcePort:44222,DestinationPort:108
140.[TCP] SourcePort:1080,DestinationPort:4421
141.[TCP] SourcePort:1080,DestinationPort:4422
142.[TCP] SourcePort:443,DestinationPort:3444
143.[TCP] SourcePort:1080,DestinationPort:4421
144.[TCP] SourcePort:44214,DestinationPort:108
145.[TCP] SourcePort:443,DestinationPort:3444
146.[TCP] SourcePort:443,DestinationPort:3444
147.[TCP] SourcePort:1080,DestinationPort:4421
148.[TCP] SourcePort:443,DestinationPort:3444
149.[TCP] SourcePort:443,DestinationPort:3444
150.[TCP] SourcePort:1080,DestinationPort:4421
151.[TCP] SourcePort:44214,DestinationPort:108
152.[TCP] SourcePort:1080,DestinationPort:4421
153.[TCP] SourcePort:443,DestinationPort:3444
154.[TCP] SourcePort:1080,DestinationPort:4421
155.[TCP] SourcePort:44214,DestinationPort:108
156.[TCP] SourcePort:443,DestinationPort:3444
157.[TCP] SourcePort:443,DestinationPort:3444
158.[TCP] SourcePort:1080,DestinationPort:4421
159.[TCP] SourcePort:1080,DestinationPort:4421
160.[TCP] SourcePort:44214,DestinationPort:108
161.[TCP] SourcePort:443,DestinationPort:3444
162.[TCP] SourcePort:1080,DestinationPort:4421
163.[TCP] SourcePort:443,DestinationPort:3444
164.[TCP] SourcePort:1080,DestinationPort:4421
165.[TCP] SourcePort:44214,DestinationPort:108
166.[TCP] SourcePort:443,DestinationPort:3444
167.[TCP] SourcePort:443,DestinationPort:3444
168.[TCP] SourcePort:443,DestinationPort:3444
169.[TCP] SourcePort:1080,DestinationPort:4421
170.[TCP] SourcePort:443,DestinationPort:3444
171.[TCP] SourcePort:443,DestinationPort:3444
172.[TCP] SourcePort:1080,DestinationPort:4421
173.[TCP] SourcePort:44214,DestinationPort:108
174.[TCP] SourcePort:44214,DestinationPort:108
175.[TCP] SourcePort:1080,DestinationPort:4421
176.[TCP] SourcePort:443,DestinationPort:3444
177.[TCP] SourcePort:443,DestinationPort:3444
178.[TCP] SourcePort:1080,DestinationPort:4421
179.[TCP] SourcePort:44218,DestinationPort:108
180.[TCP] SourcePort:443,DestinationPort:3444
181.[TCP] SourcePort:1080,DestinationPort:4421
182.[TCP] SourcePort:443,DestinationPort:3444
183.[TCP] SourcePort:443,DestinationPort:3444
184.[TCP] SourcePort:443,DestinationPort:3444
185.[TCP] SourcePort:1080,DestinationPort:4421
186.[TCP] SourcePort:44218,DestinationPort:108
187.[TCP] SourcePort:44218,DestinationPort:108
188.[TCP] SourcePort:1080,DestinationPort:4421
189.[TCP] SourcePort:443,DestinationPort:3444
190.[TCP] SourcePort:1080,DestinationPort:4422
191.[TCP] SourcePort:44222,DestinationPort:108
192.[TCP] SourcePort:443,DestinationPort:3444
193.[TCP] SourcePort:443,DestinationPort:3444
194.[TCP] SourcePort:443,DestinationPort:3444
195.[TCP] SourcePort:1080,DestinationPort:4422
196.[TCP] SourcePort:44222,DestinationPort:108
197.[TCP] SourcePort:1080,DestinationPort:4422
198.[TCP] SourcePort:443,DestinationPort:3444
199.[TCP] SourcePort:1080,DestinationPort:4421
200.[TCP] SourcePort:443,DestinationPort:3444
201.[TCP] SourcePort:443,DestinationPort:3444
202.[TCP] SourcePort:1080,DestinationPort:4421
203.[TCP] SourcePort:44214,DestinationPort:108
204.[TCP] SourcePort:443,DestinationPort:3444
205.[TCP] SourcePort:1080,DestinationPort:4421
206.[TCP] SourcePort:1080,DestinationPort:4421
207.[TCP] SourcePort:44214,DestinationPort:108
208.[TCP] SourcePort:443,DestinationPort:3444
209.[TCP] SourcePort:443,DestinationPort:3444
210.[TCP] SourcePort:443,DestinationPort:3444
211.[TCP] SourcePort:1080,DestinationPort:4421
212.[TCP] SourcePort:44214,DestinationPort:108
213.[TCP] SourcePort:44226,DestinationPort:108
214.[TCP] SourcePort:1080,DestinationPort:4422
215.[TCP] SourcePort:44226,DestinationPort:108
216.[TCP] SourcePort:44226,DestinationPort:108
217.[TCP] SourcePort:1080,DestinationPort:4422
218.[TCP] SourcePort:1080,DestinationPort:4422
219.[TCP] SourcePort:44226,DestinationPort:108
220.[TCP] SourcePort:44226,DestinationPort:108
221.[TCP] SourcePort:1080,DestinationPort:4422
222.[TCP] SourcePort:44226,DestinationPort:108
223.[TCP] SourcePort:44230,DestinationPort:108
224.[TCP] SourcePort:1080,DestinationPort:4423
225.[TCP] SourcePort:44230,DestinationPort:108
226.[TCP] SourcePort:44230,DestinationPort:108
227.[TCP] SourcePort:1080,DestinationPort:4423
228.[TCP] SourcePort:1080,DestinationPort:4423
229.[TCP] SourcePort:44230,DestinationPort:108
230.[TCP] SourcePort:44230,DestinationPort:108
231.[TCP] SourcePort:1080,DestinationPort:4423
232.[TCP] SourcePort:44230,DestinationPort:108
233.[TCP] SourcePort:1080,DestinationPort:4422
234.[TCP] SourcePort:1080,DestinationPort:4423
235.[TCP] SourcePort:443,DestinationPort:3444
236.[TCP] SourcePort:1080,DestinationPort:4421
237.[TCP] SourcePort:44214,DestinationPort:108
238.[TCP] SourcePort:443,DestinationPort:3444
239.[TCP] SourcePort:1080,DestinationPort:4421
240.[TCP] SourcePort:44214,DestinationPort:108
241.[TCP] SourcePort:443,DestinationPort:3444
242.[TCP] SourcePort:1080,DestinationPort:4421
243.[TCP] SourcePort:44214,DestinationPort:108
244.[TCP] SourcePort:44214,DestinationPort:108
245.[TCP] SourcePort:1080,DestinationPort:4421
246.[TCP] SourcePort:44214,DestinationPort:108
247.[TCP] SourcePort:1080,DestinationPort:4421
248.[TCP] SourcePort:44214,DestinationPort:108
249.[TCP] SourcePort:1080,DestinationPort:4421
250.[TCP] SourcePort:44214,DestinationPort:108
251.[TCP] SourcePort:1080,DestinationPort:4421
252.[TCP] SourcePort:443,DestinationPort:3444
253.[TCP] SourcePort:1080,DestinationPort:4421
254.[TCP] SourcePort:443,DestinationPort:3444
255.[TCP] SourcePort:1080,DestinationPort:4422
256.[TCP] SourcePort:44218,DestinationPort:108
257.[TCP] SourcePort:1080,DestinationPort:4421
258.[TCP] SourcePort:44222,DestinationPort:108
259.[TCP] SourcePort:1080,DestinationPort:4422
260.[TCP] SourcePort:443,DestinationPort:3444
261.[TCP] SourcePort:443,DestinationPort:3444
262.[TCP] SourcePort:1080,DestinationPort:4421
263.[TCP] SourcePort:443,DestinationPort:3444
264.[TCP] SourcePort:443,DestinationPort:3444
265.[TCP] SourcePort:1080,DestinationPort:4421
266.[TCP] SourcePort:44214,DestinationPort:108
267.[TCP] SourcePort:1080,DestinationPort:4421
268.[TCP] SourcePort:443,DestinationPort:3444
269.[TCP] SourcePort:1080,DestinationPort:4421
270.[TCP] SourcePort:44214,DestinationPort:108
271.[TCP] SourcePort:443,DestinationPort:3444
272.[TCP] SourcePort:1080,DestinationPort:4421
273.[TCP] SourcePort:443,DestinationPort:3444
274.[TCP] SourcePort:1080,DestinationPort:4421
275.[TCP] SourcePort:44214,DestinationPort:108
276.[TCP] SourcePort:443,DestinationPort:3444
277.[TCP] SourcePort:1080,DestinationPort:4421
278.[TCP] SourcePort:443,DestinationPort:3444
279.[TCP] SourcePort:1080,DestinationPort:4421
280.[TCP] SourcePort:44214,DestinationPort:108
281.[TCP] SourcePort:443,DestinationPort:3445
282.[TCP] SourcePort:443,DestinationPort:3445
283.[TCP] SourcePort:443,DestinationPort:3444
284.[TCP] SourcePort:1080,DestinationPort:4421
285.[TCP] SourcePort:443,DestinationPort:3444
286.[TCP] SourcePort:1080,DestinationPort:4421
287.[TCP] SourcePort:44214,DestinationPort:108
288.[TCP] SourcePort:443,DestinationPort:3444
289.[TCP] SourcePort:1080,DestinationPort:4421
290.[TCP] SourcePort:443,DestinationPort:3444
291.[TCP] SourcePort:44214,DestinationPort:108
292.[TCP] SourcePort:443,DestinationPort:3444
293.[TCP] SourcePort:443,DestinationPort:3444
294.[TCP] SourcePort:443,DestinationPort:3444
295.[TCP] SourcePort:1080,DestinationPort:4421
296.[TCP] SourcePort:443,DestinationPort:3444
297.[TCP] SourcePort:1080,DestinationPort:4421
298.[TCP] SourcePort:44218,DestinationPort:108
299.[TCP] SourcePort:443,DestinationPort:3444
300.[TCP] SourcePort:443,DestinationPort:3444
301.[TCP] SourcePort:1080,DestinationPort:4421
302.[TCP] SourcePort:443,DestinationPort:3444
303.[TCP] SourcePort:443,DestinationPort:3444
304.[TCP] SourcePort:1080,DestinationPort:4421
305.[TCP] SourcePort:44218,DestinationPort:108
306.[TCP] SourcePort:443,DestinationPort:3444
307.[TCP] SourcePort:443,DestinationPort:3444
308.[TCP] SourcePort:443,DestinationPort:3444
309.[TCP] SourcePort:1080,DestinationPort:4421
310.[TCP] SourcePort:443,DestinationPort:3444
311.[TCP] SourcePort:1080,DestinationPort:4421
312.[TCP] SourcePort:44218,DestinationPort:108
313.[TCP] SourcePort:1080,DestinationPort:4421
314.[TCP] SourcePort:443,DestinationPort:3444
315.[TCP] SourcePort:1080,DestinationPort:4422
316.[TCP] SourcePort:443,DestinationPort:3444
317.[TCP] SourcePort:1080,DestinationPort:4422
318.[TCP] SourcePort:443,DestinationPort:3444
319.[TCP] SourcePort:1080,DestinationPort:4422
320.[TCP] SourcePort:44222,DestinationPort:108
321.[TCP] SourcePort:443,DestinationPort:3444
322.[TCP] SourcePort:443,DestinationPort:3444
323.[TCP] SourcePort:443,DestinationPort:3444
324.[TCP] SourcePort:1080,DestinationPort:4422
325.[TCP] SourcePort:1080,DestinationPort:4422
326.[TCP] SourcePort:44222,DestinationPort:108
327.[TCP] SourcePort:443,DestinationPort:3444
328.[TCP] SourcePort:443,DestinationPort:3444
329.[TCP] SourcePort:443,DestinationPort:3444
330.[TCP] SourcePort:443,DestinationPort:3444
331.[TCP] SourcePort:1080,DestinationPort:4422
332.[TCP] SourcePort:1080,DestinationPort:4422
333.[TCP] SourcePort:44222,DestinationPort:108
334.[TCP] SourcePort:443,DestinationPort:3445
335.[TCP] SourcePort:443,DestinationPort:3444
336.[TCP] SourcePort:1080,DestinationPort:4421
337.[TCP] SourcePort:443,DestinationPort:3444
338.[TCP] SourcePort:443,DestinationPort:3444
339.[TCP] SourcePort:1080,DestinationPort:4421
340.[TCP] SourcePort:44214,DestinationPort:108
341.[TCP] SourcePort:443,DestinationPort:3444
342.[TCP] SourcePort:443,DestinationPort:3444
343.[TCP] SourcePort:443,DestinationPort:3444
344.[TCP] SourcePort:1080,DestinationPort:4421
345.[TCP] SourcePort:44214,DestinationPort:108
346.[TCP] SourcePort:1080,DestinationPort:4421
347.[TCP] SourcePort:44214,DestinationPort:108
348.[TCP] SourcePort:443,DestinationPort:3444
349.[TCP] SourcePort:443,DestinationPort:3444
350.[TCP] SourcePort:443,DestinationPort:3444
351.[TCP] SourcePort:443,DestinationPort:3444
352.[TCP] SourcePort:443,DestinationPort:3444
353.[TCP] SourcePort:44214,DestinationPort:108
354.[TCP] SourcePort:443,DestinationPort:3445
355.[TCP] SourcePort:443,DestinationPort:3445
356.[TCP] SourcePort:443,DestinationPort:3445
357.[TCP] SourcePort:443,DestinationPort:3445
358.[TCP] SourcePort:1080,DestinationPort:4422
359.[TCP] SourcePort:44226,DestinationPort:108
360.[TCP] SourcePort:1080,DestinationPort:4422
361.[TCP] SourcePort:44226,DestinationPort:108
362.[TCP] SourcePort:1080,DestinationPort:4422
363.[TCP] SourcePort:44218,DestinationPort:108
364.[TCP] SourcePort:1080,DestinationPort:4421
365.[TCP] SourcePort:443,DestinationPort:3445
366.[TCP] SourcePort:443,DestinationPort:3445
367.[TCP] SourcePort:443,DestinationPort:3445
368.[TCP] SourcePort:443,DestinationPort:3445
369.[TCP] SourcePort:1080,DestinationPort:4423
370.[TCP] SourcePort:443,DestinationPort:3445
371.[TCP] SourcePort:44230,DestinationPort:108
372.[TCP] SourcePort:1080,DestinationPort:4423
373.[TCP] SourcePort:44230,DestinationPort:108
374.[TCP] SourcePort:1080,DestinationPort:4423
375.[TCP] SourcePort:443,DestinationPort:3444
376.[TCP] SourcePort:1080,DestinationPort:4421
377.[TCP] SourcePort:443,DestinationPort:3444
378.[TCP] SourcePort:1080,DestinationPort:4421
379.[TCP] SourcePort:44214,DestinationPort:108
380.[TCP] SourcePort:443,DestinationPort:3444
381.[TCP] SourcePort:1080,DestinationPort:4421
382.[TCP] SourcePort:443,DestinationPort:3444
383.[TCP] SourcePort:1080,DestinationPort:4421
384.[TCP] SourcePort:44214,DestinationPort:108
385.[TCP] SourcePort:44234,DestinationPort:108
386.[TCP] SourcePort:1080,DestinationPort:4423
387.[TCP] SourcePort:44234,DestinationPort:108
388.[TCP] SourcePort:44234,DestinationPort:108
389.[TCP] SourcePort:1080,DestinationPort:4423
390.[TCP] SourcePort:1080,DestinationPort:4423
391.[TCP] SourcePort:44234,DestinationPort:108
392.[TCP] SourcePort:44234,DestinationPort:108
393.[TCP] SourcePort:1080,DestinationPort:4423
394.[TCP] SourcePort:44234,DestinationPort:108
395.[TCP] SourcePort:443,DestinationPort:3444
396.[TCP] SourcePort:1080,DestinationPort:4421
397.[TCP] SourcePort:44218,DestinationPort:108
398.[TCP] SourcePort:443,DestinationPort:3444
399.[TCP] SourcePort:1080,DestinationPort:4421
400.[TCP] SourcePort:44218,DestinationPort:108
401.[TCP] SourcePort:443,DestinationPort:3444
402.[TCP] SourcePort:1080,DestinationPort:4421
403.[TCP] SourcePort:44218,DestinationPort:108
404.[TCP] SourcePort:443,DestinationPort:3444
405.[TCP] SourcePort:1080,DestinationPort:4421
406.[TCP] SourcePort:44218,DestinationPort:108
407.[TCP] SourcePort:443,DestinationPort:3444
408.[TCP] SourcePort:443,DestinationPort:3444
409.[TCP] SourcePort:443,DestinationPort:3444
410.[TCP] SourcePort:443,DestinationPort:3444
411.[TCP] SourcePort:1080,DestinationPort:4421
412.[TCP] SourcePort:44218,DestinationPort:108
413.[TCP] SourcePort:1080,DestinationPort:4421
414.[TCP] SourcePort:44218,DestinationPort:108
415.[TCP] SourcePort:443,DestinationPort:3444
416.[TCP] SourcePort:443,DestinationPort:3444
417.[TCP] SourcePort:1080,DestinationPort:4421
418.[TCP] SourcePort:44218,DestinationPort:108
419.[TCP] SourcePort:443,DestinationPort:3444
420.[TCP] SourcePort:1080,DestinationPort:4422
421.[TCP] SourcePort:443,DestinationPort:3444
422.[TCP] SourcePort:443,DestinationPort:3444
423.[TCP] SourcePort:1080,DestinationPort:4422
424.[TCP] SourcePort:44222,DestinationPort:108
425.[TCP] SourcePort:1080,DestinationPort:4422
426.[TCP] SourcePort:443,DestinationPort:3444
427.[TCP] SourcePort:443,DestinationPort:3444
428.[TCP] SourcePort:443,DestinationPort:3444
429.[TCP] SourcePort:1080,DestinationPort:4422
430.[TCP] SourcePort:44222,DestinationPort:108
431.[TCP] SourcePort:1080,DestinationPort:4422
432.[TCP] SourcePort:443,DestinationPort:3444
433.[TCP] SourcePort:443,DestinationPort:3444
434.[TCP] SourcePort:443,DestinationPort:3444
435.[TCP] SourcePort:1080,DestinationPort:4422
436.[TCP] SourcePort:44222,DestinationPort:108
437.[TCP] SourcePort:1080,DestinationPort:4422
438.[TCP] SourcePort:443,DestinationPort:3444
439.[TCP] SourcePort:1080,DestinationPort:4422
440.[TCP] SourcePort:44222,DestinationPort:108
441.[TCP] SourcePort:1080,DestinationPort:4423
442.[TCP] SourcePort:443,DestinationPort:3445
443.[TCP] SourcePort:1080,DestinationPort:4422
444.[TCP] SourcePort:44226,DestinationPort:108
445.[TCP] SourcePort:1080,DestinationPort:4422
446.[TCP] SourcePort:443,DestinationPort:3444
447.[TCP] SourcePort:443,DestinationPort:3445
448.[TCP] SourcePort:1080,DestinationPort:4423
449.[TCP] SourcePort:44230,DestinationPort:108
450.[TCP] SourcePort:1080,DestinationPort:4423
451.[TCP] SourcePort:443,DestinationPort:3444
452.[TCP] SourcePort:1080,DestinationPort:4421
453.[TCP] SourcePort:44218,DestinationPort:108
454.[TCP] SourcePort:443,DestinationPort:3444
455.[TCP] SourcePort:1080,DestinationPort:4421
456.[TCP] SourcePort:44218,DestinationPort:108
457.[TCP] SourcePort:443,DestinationPort:3444
458.[TCP] SourcePort:1080,DestinationPort:4421
459.[TCP] SourcePort:44218,DestinationPort:108
460.[TCP] SourcePort:443,DestinationPort:3444
461.[TCP] SourcePort:443,DestinationPort:3444
462.[TCP] SourcePort:1080,DestinationPort:4421
463.[TCP] SourcePort:44218,DestinationPort:108
464.[TCP] SourcePort:443,DestinationPort:3444
465.[TCP] SourcePort:443,DestinationPort:3444
466.[TCP] SourcePort:1080,DestinationPort:4421
467.[TCP] SourcePort:44218,DestinationPort:108
468.[TCP] SourcePort:1080,DestinationPort:4421
469.[TCP] SourcePort:44218,DestinationPort:108
470.[TCP] SourcePort:443,DestinationPort:3444
471.[TCP] SourcePort:443,DestinationPort:3444
472.[TCP] SourcePort:1080,DestinationPort:4421
473.[TCP] SourcePort:44218,DestinationPort:108
474.[TCP] SourcePort:443,DestinationPort:3444
475.[TCP] SourcePort:443,DestinationPort:3444
476.[TCP] SourcePort:1080,DestinationPort:4421
477.[TCP] SourcePort:44218,DestinationPort:108
478.[TCP] SourcePort:443,DestinationPort:3444
479.[TCP] SourcePort:1080,DestinationPort:4422
480.[TCP] SourcePort:443,DestinationPort:3444
481.[TCP] SourcePort:1080,DestinationPort:4422
482.[TCP] SourcePort:44222,DestinationPort:108
483.[TCP] SourcePort:443,DestinationPort:3444
484.[TCP] SourcePort:443,DestinationPort:3444
485.[TCP] SourcePort:1080,DestinationPort:4422
486.[TCP] SourcePort:443,DestinationPort:3444
487.[TCP] SourcePort:1080,DestinationPort:4422
488.[TCP] SourcePort:44222,DestinationPort:108
489.[TCP] SourcePort:1080,DestinationPort:4422
490.[TCP] SourcePort:443,DestinationPort:3444
491.[TCP] SourcePort:443,DestinationPort:3444
492.[TCP] SourcePort:1080,DestinationPort:4422
493.[TCP] SourcePort:44222,DestinationPort:108
494.[TCP] SourcePort:443,DestinationPort:3446
495.[TCP] SourcePort:443,DestinationPort:3444
496.[TCP] SourcePort:1080,DestinationPort:4422
497.[TCP] SourcePort:443,DestinationPort:3444
498.[TCP] SourcePort:443,DestinationPort:3444
499.[TCP] SourcePort:1080,DestinationPort:4422
500.[TCP] SourcePort:44222,DestinationPort:108
501.[TCP] SourcePort:443,DestinationPort:3444
502.[TCP] SourcePort:1080,DestinationPort:4422
503.[TCP] SourcePort:44238,DestinationPort:108
504.[TCP] SourcePort:1080,DestinationPort:4423
505.[TCP] SourcePort:44238,DestinationPort:108
506.[TCP] SourcePort:44238,DestinationPort:108
507.[TCP] SourcePort:1080,DestinationPort:4423
508.[TCP] SourcePort:443,DestinationPort:3445
509.[TCP] SourcePort:1080,DestinationPort:4423
510.[TCP] SourcePort:44238,DestinationPort:108
511.[TCP] SourcePort:44238,DestinationPort:108
512.[TCP] SourcePort:1080,DestinationPort:4423
513.[TCP] SourcePort:1080,DestinationPort:4422
514.[TCP] SourcePort:44238,DestinationPort:108
515.[TCP] SourcePort:44242,DestinationPort:108
516.[TCP] SourcePort:1080,DestinationPort:4424
517.[TCP] SourcePort:44242,DestinationPort:108
518.[TCP] SourcePort:44242,DestinationPort:108
519.[TCP] SourcePort:1080,DestinationPort:4424
520.[TCP] SourcePort:1080,DestinationPort:4424
521.[TCP] SourcePort:44242,DestinationPort:108
522.[TCP] SourcePort:44242,DestinationPort:108
523.[TCP] SourcePort:1080,DestinationPort:4424
524.[TCP] SourcePort:44242,DestinationPort:108
525.[TCP] SourcePort:44222,DestinationPort:108
526.[TCP] SourcePort:1080,DestinationPort:4424
527.[TCP] SourcePort:1080,DestinationPort:4423
528.[TCP] SourcePort:44226,DestinationPort:108
529.[TCP] SourcePort:443,DestinationPort:3445
530.[TCP] SourcePort:1080,DestinationPort:4423
531.[TCP] SourcePort:44230,DestinationPort:108
532.[TCP] SourcePort:443,DestinationPort:3444
533.[TCP] SourcePort:1080,DestinationPort:4421
534.[TCP] SourcePort:44218,DestinationPort:108
535.[TCP] SourcePort:443,DestinationPort:3444
536.[TCP] SourcePort:443,DestinationPort:3444
537.[TCP] SourcePort:1080,DestinationPort:4421
538.[TCP] SourcePort:44218,DestinationPort:108
539.[TCP] SourcePort:443,DestinationPort:3444
540.[TCP] SourcePort:1080,DestinationPort:4421
541.[TCP] SourcePort:44218,DestinationPort:108
542.[TCP] SourcePort:443,DestinationPort:3444
543.[TCP] SourcePort:1080,DestinationPort:4421
544.[TCP] SourcePort:44218,DestinationPort:108
545.[TCP] SourcePort:443,DestinationPort:3444
546.[TCP] SourcePort:443,DestinationPort:3444
547.[TCP] SourcePort:443,DestinationPort:3444
548.[TCP] SourcePort:1080,DestinationPort:4421
549.[TCP] SourcePort:44218,DestinationPort:108
550.[TCP] SourcePort:1080,DestinationPort:4421
